Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Currency,EURO Price,Country,City
14900,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,5,2.1,GRP,180,EUR,14900,Germany, 25488 Holm
15500,Cabin Boat,Seaswirl power boats,"Used boat,Unleaded",1995,6.5,2.5,GRP,145,EUR,15500,Germany, Genthin
15500,Sport Boat,Fjord Plast power boats,"Used boat,Unleaded",1979,6.5,2.5,GRP,125,EUR,15500,Austria, Linz
15500,"Motor Yacht,Sport Boat",Scand power boats,"Used boat,Unleaded",1993,9.2,2.98,GRP,236,EUR,15500,Austria, Donau 
15500,Trawler,Hoekstra power boats,Used boat,1976,9.5,3.2,Steel,253,EUR,15500,Netherlands, In verkoophaven
15500,Trawler,SkilsÃ¶ power boats,"Used boat,Diesel",1979,7,2.5,GRP,311,EUR,15500,Germany, Niedersachsen 
15499,Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.5,2.29,GRP,219,EUR,15499,Germany, Kieler Bucht mit Fehmarn 
15490,Deck Boat,Jeanneau power boats,new boat from stock,2017,5,2,PVC,71,EUR,15490,Slovakia," Bratislava, Slovaquie"
15446,Center console boat,Jeanneau power boats,new boat on order,2020,5.48,2.36,GRP,56,EUR,15446,Germany, BÃ¶nningstedt / Werft
15400,Center console boat,Ranieri power boats,new boat from stock,2019,6,2.25,GRP,116,EUR,15400,Italy, Lombardia - Trentino Alto Adige 
17684,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,4.7,2.02,Aluminium,341,CHF,17860.84,Switzerland, Bouveret
17500,Pilothouse,Milan  power boats,"Used boat,Diesel",1992,6.19,2.4,GRP,201,CHF,17675,Switzerland, Bielersee
16220,Center console boat,Jeanneau power boats,new boat from stock,2020,5.48,2.36,GRP,99,EUR,16220,Germany, BÃ¶nningstedt / Werft
16190,Sport Boat,AMT power boats,new boat from stock,2019,5.15,2.08,GRP,60,EUR,16190,Germany, auf Anfrage
17500,Pontoon Boat,Doral power boats,"Used boat,Unleaded",1995,7.2,2.57,GRP,387,CHF,17675,Switzerland, Luganersee 
17400,Pilothouse,Smartliner power boats,new boat on order,2020,6.4,2.25,GRP,399,CHF,17574,Switzerland, Lake Geneva 
17400,Center console boat,Morningstar power boats,new boat from stock,2019,5,2,Aluminium,149,CHF,17574,Switzerland, VierwaldstÃ¤ttersee 
16900,Pilothouse,Smartliner power boats,"Used boat,Unleaded",2017,6.45,2.25,PVC,53,EUR,16900,Montenegro," Tivat, Montenegro"
16900,Cabin Boat,Four Winns power boats,"Used boat,Unleaded",1992,6.3,2.34,GRP,154,EUR,16900,Germany, Bayern 
